"","trait","snp_heritability","p_val"
"379","light_reinforcement_pre_act16_5",0.072881,0.0001461
"380","light_reinforcement_pre_act10_5",0.072402,0.0001119
"381","social_reinforcement_socialti_10_5",0.072278,0.005175
"382","ccc_d7_avg_vel",0.072152,0.002402
"383","social_reinforcement_socialti_1_5",0.071901,0.004169
"384","locomotor_testing_cent4_5",0.071735,0.001077
"385","pavca_MI_d2_magazine_ncs",0.070907,0.001849
"386","reaction_time_devmedrt7_5",0.068645,0.001533
"387","social_reinforcement_socialti_7_5",0.066639,0.003711
"388","social_reinforcement_opconti_13_5",0.066406,0.01232
"389","social_reinforcement_socialrs_1_5",0.066282,0.01034
"390","reaction_time_meanrt_slope",0.065616,0.0006056
"391","ccp_change_in_time_on_cs",0.064959,0.001917
"392","light_reinforcement_pre_inact16_5",0.064928,0.0006776
"393","ccp_trial_2_cocaine_dist_mm",0.0649,0.0005706
"394","locomotor_testing_cent13_5",0.063853,0.0008021
"395","ccc_degree_sens_stereotypy",0.063541,0.003918
"396","pavca_MI_d5_avg_mag_lat",0.063344,0.002257
"397","light_reinforcement_pre_relactive",0.063187,0.002024
"398","reaction_time_medrt_slope",0.06318,0.0005842
"399","locomotor_testing_rear13_5",0.063021,0.002068
"400","reaction_time_devmedrt16_5",0.062847,0.003309
"401","reaction_time_devmedrt10_5",0.062339,0.001922
"402","social_reinforcement_opconti_10_5",0.06102,0.01708
"403","pavca_MI_d2_avg_mag_lat",0.059858,0.002002
"404","ccc_d3_total_hw_dur",0.058165,0.01982
"405","delay_discounting_pcrateauc",0.058074,0.00629
"406","ccp_trial_3_cocaine_dist_mm",0.05792,0.004126
"407","light_reinforcement_pre_act4_5",0.057046,0.004419
"408","ccc_degree_sens_dist",0.056152,0.01366
"409","light_reinforcement_pre_act7_5",0.055639,0.002148
"410","pavca_MI_d2_prob_mag",0.053539,0.006614
"411","pavca_MI_IndexLearning",0.049929,0.004859
"412","social_reinforcement_midconrs_1_5",0.048419,0.03825
"413","pavca_MI_d3_magazine_ncs",0.047431,0.01882
"414","delay_discounting_tw600",0.045525,0.0232
"415","pavca_MI_d2_magazine_cs",0.0442,0.01389
"416","ccp_change_in_locomotor_activity",0.044104,0.02566
"417","crf_MI_active_inactive_ratio",0.041116,0.04444
"418","reaction_time_peropfalsealarm_slope",0.039321,0.01474
"419","ccp_post_test_time_on_cs",0.037126,0.04919
"420","novelty_seeking_test_time_side_n",0.031331,0.1086
"421","reaction_time_pofalsealarm16_5",0.028005,0.07334
"422","novelty_seeking_percentage_n",0.02566,0.1482
"423","reaction_time_devmedrt_slope",0.0256,0.1167
"424","ccc_d3_total_hw_bouts",0.019794,0.2216
"425","novelty_seeking_novel_familiar",0.018374,0.2223
"426","social_reinforcement_opconti_7_5",0.018304,0.2618
"427","social_reinforcement_socialrs_4_5",0.017324,0.2703
"428","novelty_seeking_percentage_f",0.015401,0.2573
"429","novelty_seeking_test_time_side_f",0.014126,0.2772
"430","novelty_seeking_hab2_time_side_f",0.013639,0.2938
"431","social_reinforcement_midconti_16_5",0.012386,0.3497
"432","novelty_seeking_hab1_time_side_n",0.01146,0.3218
"433","social_reinforcement_midconrfq",0.00616,0.4016
"434","reaction_time_devmedrt4_5",0.004575,0.4035
"435","elevated_plus_maze_centerlate",0.003063,0.4475
"436","reaction_time_devmedrt13_5",0.001806,0.4656
"437","novelty_seeking_hab1_time_side_f",1e-06,0.5
"438","novelty_seeking_hab2_time_side_n",1e-06,0.5
"439","elevated_plus_maze_openlate",1e-06,0.5
"440","delay_discounting_sess2400",1e-06,0.5
